"","ISO3","peak.cropland","peak.pasture","peak.both","bottom.cropland","bottom.pasture","bottom.both","fill"
"152","URY",11,11,11,7,7,7,FALSE
"153","UZB",5,5,8,1,1,1,FALSE
"154","VEN",8,8,8,3,3,3,FALSE
"155","VNM",9,9,9,2,2,2,FALSE
"156","NAM",3,3,3,8,8,8,FALSE
"157","SWZ",2,2,2,8,8,8,FALSE
"158","YEM",1,1,1,7,7,7,FALSE
"159","ZMB",3,3,3,9,9,9,FALSE
"160","ZWE",2,2,2,9,9,9,FALSE
"161","IDN",6,6,6,10,10,10,FALSE
"162","ARE",3,3,3,8,8,8,FALSE
"163","TLS",4,4,4,11,10,11,FALSE
"164","ETF",9,9,9,2,8,8,FALSE
"165","BLX",6,6,6,1,1,1,FALSE
"166","CSK",6,6,6,1,1,1,FALSE
"167","CHN",8,8,8,1,1,1,FALSE
"168","YSR",6,7,6,1,1,1,FALSE
"169","LANT",12,12,12,6,6,6,TRUE
"170","POLY",8,8,8,11,11,11,TRUE
"171","MICRO",3,3,3,8,8,8,TRUE
"172","FIN",7,7,7,2,2,2,FALSE
